precision(B),recall(B),F1_score(B),mAP50(B),mAP50-95(B),precision(M),recall(M),F1_score(M),mAP50(M),mAP50-95(M),fitness,preprocess,inference,loss,postprocess,Model,Dataset,Optimizer,Format
0.9736570522834198,0.9357291013638771,0.954316377364975,0.9529730198523628,0.7524401665714608,0.9868132702963923,0.9472865910055249,0.9666460325878279,0.968022840504756,0.7335425188521493,1.529484002916961,0.6428249683231115,2.1104445923119783,0.000756213441491127,1.046336693689227,yolov8n-seg*,Deepfish,SGD,Pytorch
0.9671707280068497,0.9240506329113924,0.9451191085470582,0.9604710823854884,0.7620981674221137,0.9804196420891352,0.9367088607594937,0.9580659456504426,0.9655702851856917,0.7279430507563474,1.533641233117733,0.3291887305676937,2.933015128597617,0.009213926270604134,0.8929279744625092,yolov8n-seg*,Deepfish,SGD,TensorRT-F32
0.9651595408583906,0.9240506329113924,0.944157825289528,0.9608396040804338,0.7650380993880925,0.9787334168140489,0.9367088607594937,0.9572601321220809,0.9661177756812365,0.728631608922391,1.536998475455602,0.3609032314270735,1.4873222690075636,0.011298181489109993,1.0081657320261002,yolov8n-seg*,Deepfish,SGD,TensorRT-F16
0.8981481934812251,0.6962025316455697,0.7843858145387625,0.7499362578722162,0.5248354199474516,0.881818226327021,0.6835443037974683,0.7701242542744214,0.7152103436055303,0.4679759332895815,1.0400448780611045,0.3143509440124035,1.2442563641816378,0.00940772332251072,0.8412093352526426,yolov8n-seg*,Deepfish,SGD,TensorRT-INT8
0.9865944514218462,0.9316355112816,0.9583276708727745,0.953843341604632,0.7539015353633757,1.0,0.9441409968664641,0.9712680287985448,0.9720057915415087,0.7519581318358086,1.54785861379388,0.6635632310062647,1.9467960968613625,0.0007018167525529861,1.0373681262135506,yolov8n-seg*,Deepfish,AdamW,Pytorch
0.9726900411362572,0.9367088607594937,0.9543604318618113,0.9498866244289805,0.7414400876745015,0.985834501151612,0.9493670886075949,0.9672571944545384,0.9677209748099792,0.7477096329619807,1.53199550849673,0.3559982106089592,2.873183812946081,0.01013927347958088,0.8365129660815,yolov8n-seg*,Deepfish,AdamW,TensorRT-F32
0.972976875013767,0.9367088607594937,0.954498473823956,0.9486093761835763,0.7509518095537416,0.9861252111626017,0.9493670886075949,0.967397101848604,0.9676275771127164,0.7479327532384751,1.5406198018426243,0.32277858071029186,1.4151003547012806,0.008676139637827873,0.7512280866503716,yolov8n-seg*,Deepfish,AdamW,TensorRT-F16
0.8036634145846602,0.7215189873417721,0.7603791026205724,0.8367465052465772,0.5910364392415997,0.8177627727352682,0.7341772151898734,0.7737190868770736,0.8394261300719988,0.563167886057606,1.2064011563011428,0.34657089971005917,1.322672663256526,0.01035129465162754,0.7599052768200636,yolov8n-seg*,Deepfish,AdamW,TensorRT-INT8
1.0,0.960849731355332,0.9800340291157307,0.9848417654285522,0.82916338745824,1.0,0.960849731355332,0.9800340291157307,0.9848417654285522,0.8093119291007801,1.6715961379888287,0.668839992955327,4.447343911975622,0.0009259581565856934,0.7823777981102467,yolov8s-seg*,Deepfish,SGD,Pytorch
0.9989388455503493,0.9620253164556962,0.9801346476698128,0.9855127960410038,0.8327264286413705,0.9989388455503493,0.9620253164556962,0.9801346476698128,0.9855127960410038,0.8016876362691461,1.6680752176276656,0.3687459286302328,6.357027361169457,0.008109167218208313,0.7815511431545019,yolov8s-seg*,Deepfish,SGD,TensorRT-F32
0.9988881893643798,0.9620253164556962,0.9801102635327532,0.9855127960410038,0.833385869348137,0.9988881893643798,0.9620253164556962,0.9801102635327532,0.9855127960410038,0.8059722942596045,1.672524906455168,0.3513082377612591,2.4243200849741697,0.009268850088119507,0.8438523299992085,yolov8s-seg*,Deepfish,SGD,TensorRT-F16
0.9829003679997735,0.9493670886075949,0.9658427538780299,0.9703307591810951,0.7968865341070284,0.9829003679997735,0.9493670886075949,0.9658427538780299,0.9718831334427228,0.7775746756107754,1.6112364780084052,0.3525222484022379,1.6821295581758022,0.008910764008760452,0.8025014474987984,yolov8s-seg*,Deepfish,SGD,TensorRT-INT8
0.984965179497547,0.9746835443037974,0.9797973897140315,0.9803355673268848,0.8067850038630819,0.984965179497547,0.9746835443037974,0.9797973897140315,0.9803355673268848,0.7940675039831653,1.6368343705269994,0.7480953577905893,4.543521190062165,0.0010154284536838531,0.6901549994945526,yolov8s-seg*,Deepfish,AdamW,Pytorch
0.9875098002682992,0.9746835443037974,0.9810547516357407,0.9833735918744229,0.7993810231950833,0.9875098002682992,0.9746835443037974,0.9810547516357407,0.9833735918744229,0.785895309623474,1.6234234179115863,0.3274359907954931,6.388631984591484,0.008598122745752335,0.7349897678941488,yolov8s-seg*,Deepfish,AdamW,TensorRT-F32
0.9902262402262403,0.9746835443037974,0.9823934198761999,0.9834216585921915,0.802366464239191,0.9902262402262403,0.9746835443037974,0.9823934198761999,0.9834216585921915,0.782700134775675,1.623244270831818,0.33107535168528557,2.427487328648567,0.009395940229296684,0.829471105709672,yolov8s-seg*,Deepfish,AdamW,TensorRT-F16
0.9963279526954683,0.9620253164556962,0.978876211033126,0.9747251188040392,0.758684382213644,0.9963279526954683,0.9620253164556962,0.978876211033126,0.9747251188040392,0.7537901008335837,1.556172058503313,0.34682818315923214,1.687750454992056,0.009500991553068161,0.7219573874026537,yolov8s-seg*,Deepfish,AdamW,TensorRT-INT8
0.9983732333298495,0.9493670886075949,0.9732536511102238,0.9859876984126984,0.8627983363342328,0.9983732333298495,0.9493670886075949,0.9732536511102238,0.9859876984126984,0.8226260980550185,1.7140795306328658,0.5736807696521282,10.79493335261941,0.0026059672236442566,0.3691556788980961,yolov8m-seg*,Deepfish,SGD,Pytorch
1.0,0.9489355519489908,0.9737988010942982,0.9762761842105262,0.836705781747451,1.0,0.9489355519489908,0.9737988010942982,0.9762761842105262,0.804475096337482,1.672318027118545,0.29268137365579605,14.031332287937403,0.007594345137476921,0.7010547555983067,yolov8m-seg*,Deepfish,SGD,TensorRT-F32
1.0,0.9486155616594043,0.9736302843148611,0.9762825197889181,0.8371382642893874,1.0,0.9486155616594043,0.9736302843148611,0.9762825197889181,0.8054044003702279,1.6735449021514373,0.34833826683461666,5.041571721434593,0.009973376989364624,0.8199630081653595,yolov8m-seg*,Deepfish,SGD,TensorRT-F16
