precision(B),recall(B),F1_score(B),mAP50(B),mAP50-95(B),precision(M),recall(M),F1_score(M),mAP50(M),mAP50-95(M),fitness,preprocess,inference,loss,postprocess,Model,Dataset,Optimizer,Format
0.8774332982986169,0.9032172551862072,0.8901385999035792,0.9533637692257335,0.8439470724153211,0.8774332982986169,0.9032172551862072,0.8901385999035792,0.9501986071088797,0.7971492802101375,1.667342954996374,0.6104617548937148,39.48540987096146,0.0005272616233144488,0.4129783830956205,yolov9e-seg,Salmones_LO,AdamW,Pytorch
0.8846723084940727,0.8602937450878015,0.872312732832343,0.9376519372852792,0.8297333179681925,0.8846723084940727,0.8602937450878015,0.872312732832343,0.9360977973516488,0.7831926949413406,1.6390083850822725,0.2855235505123417,35.913048318115536,0.0064049835328931935,0.7112449724469092,yolov9e-seg,Salmones_LO,AdamW,TensorRT-F32
0.8845865637030296,0.8595708896851161,0.8718993323551745,0.9377592593635753,0.8304537006461187,0.8845865637030296,0.8595708896851161,0.8718993323551745,0.9369681096793296,0.7833782819161537,1.6399215212103355,0.29747927101788585,12.890733297696555,0.009069325063716282,0.6881268791757621,yolov9e-seg,Salmones_LO,AdamW,TensorRT-F16
0.8812005216823577,0.8318744819736841,0.8558273583176232,0.9203737550649567,0.7955850318234912,0.8812005216823577,0.8318744819736841,0.8558273583176232,0.9208676969916513,0.7641863585097284,1.5879183965055583,0.31385760355208603,10.023907682701171,0.008835472384250009,0.6835266022471251,yolov9e-seg,Salmones_LO,AdamW,TensorRT-INT8
0.9442809074676579,0.8711169954536531,0.9062246305934287,0.9540895061790823,0.8439586775003584,0.9407166241569851,0.8785046728971962,0.9085469167848838,0.9571911231356638,0.7934589715513299,1.664803947077994,0.7225978430118654,2.9472711423484537,0.0006580670884290299,0.5742560727400826,yolo11n-seg,Salmones_LO,SGD,Pytorch
0.916485156007877,0.8457943925233645,0.8797219560635687,0.9393481696261853,0.8314081673033232,0.916485156007877,0.8457943925233645,0.8797219560635687,0.9385377163741372,0.78284079727229,1.640612656718084,0.297642739296153,2.8906301141704445,0.00831047859188024,0.7063801485029133,yolo11n-seg,Salmones_LO,SGD,TensorRT-F32
0.9140497292221644,0.8457943925233645,0.878598423474912,0.9391465554167804,0.8307261284154794,0.9140497292221644,0.8457943925233645,0.878598423474912,0.9383589498742799,0.7825919330607727,1.639736805857733,0.3511441641716988,1.5123303701447974,0.010020915999428018,0.7380689010507875,yolo11n-seg,Salmones_LO,SGD,TensorRT-F16
0.8918116871914483,0.8598130841121495,0.8755201111259412,0.9349673994389398,0.8180999318344616,0.8882537542274833,0.866822429906542,0.8774072425727567,0.9394492629054134,0.7720735631260631,1.6185978116989075,0.32198390705728686,1.3026659431347214,0.014380751443760735,0.7492444665449394,yolo11n-seg,Salmones_LO,SGD,TensorRT-INT8
0.9362853293752493,0.8785046728971962,0.9064751690182217,0.958574637060908,0.847697642452634,0.9362853293752493,0.8785046728971962,0.9064751690182217,0.9580642324502401,0.7938624232602326,1.669067946092695,0.7900976872240955,2.8882226967192315,0.01394480781315209,0.5141517673558615,yolo11n-seg,Salmones_LO,AdamW,Pytorch
0.8999407490536895,0.8457943925233645,0.872027859237879,0.9406902977976674,0.8319491856409625,0.8999407490536895,0.8457943925233645,0.872027859237879,0.9374169711359346,0.7789100146026708,1.6375840071126304,0.38146821165142897,2.8969813470861743,0.010596530802257649,0.7012024425066911,yolo11n-seg,Salmones_LO,AdamW,TensorRT-F32
0.8990349448631515,0.8457943925233645,0.8716023954374417,0.9406609374846681,0.8319354948664136,0.8990349448631515,0.8457943925233645,0.8716023954374417,0.9373008807674563,0.7783011851537361,1.6370091938433473,0.3476867379693242,1.5305189790760543,0.01261594354525789,0.7697386763893165,yolo11n-seg,Salmones_LO,AdamW,TensorRT-F16
0.8955308953470354,0.8411981659764031,0.867514644071288,0.9365263836556152,0.8138351374610417,0.8955308953470354,0.8411981659764031,0.867514644071288,0.9323640693804947,0.7735674903648876,1.6155514103469475,0.32218386019979206,1.304656466735261,0.013029233056616475,0.762976554839255,yolo11n-seg,Salmones_LO,AdamW,TensorRT-INT8
0.9266446380345128,0.8854395668298463,0.9055736203692534,0.9553272484907777,0.8584615837669262,0.9222542392262679,0.8869125902936921,0.9042382193559705,0.9546145255520668,0.8079528088433621,1.690767130753544,0.6804491465838699,6.426373188226641,0.002585433109046577,0.508347102864222,yolo11s-seg,Salmones_LO,SGD,Pytorch
0.9083540169786279,0.8714953271028038,0.8895430209128043,0.9463575045666777,0.856531989806218,0.9083540169786279,0.8714953271028038,0.8895430209128043,0.9446714250990326,0.8021291765388134,1.6818979426770995,0.31486481984520887,5.847810882494435,0.010552302051287193,0.7129444214575864,yolo11s-seg,Salmones_LO,SGD,TensorRT-F32
0.907472387268488,0.8714953271028038,0.8891200650696596,0.9457010085599803,0.8567199399536418,0.907472387268488,0.8714953271028038,0.8891200650696596,0.9444981261818768,0.8030531098023073,1.68281565825454,0.3791393034837463,2.4022268578893953,0.00756829311805112,0.7025511820449845,yolo11s-seg,Salmones_LO,SGD,TensorRT-F16
0.90021555898477,0.8852979049670139,0.8926944147752978,0.9427503725138437,0.8470297939981274,0.90021555898477,0.8852979049670139,0.8926944147752978,0.9417221626028404,0.8048114429541892,1.6751043667687533,0.3408737656019338,1.7283931676927324,0.00860451345706915,0.7245007285533788,yolo11s-seg,Salmones_LO,SGD,TensorRT-INT8
